city,total,first_,second_
adana,1124987,770508,354479
adıyaman,246054,168288,77766
afyon,425981,287432,138549
ağrı,133667,92686,40981
amasya,253768,166692,87076
ankara,3833361,2595889,1237472
antalya,1560998,1032951,528047
artvin,122764,79704,43060
aydın,839253,546908,292345
balıkesir,1008131,650018,358113
bilecik,155748,106747,49001
bingöl,87421,56716,30705
bitlis,73732,50079,23653
bolu,224975,149353,75622
burdur,192536,125766,66770
bursa,1791831,1243583,548248
çanakkale,454588,293745,160843
çankırı,125856,80189,45667
çorum,356126,234512,121614
denizli,676433,464629,211804
diyarbakır,436330,302616,133714
edirne,345945,222782,123163
elazığ,289701,188860,100841
erzincan,138726,90292,48434
erzurum,314357,208128,106229
eskişehir,663487,449241,214246
gaziantep,765243,558459,206784
giresun,332175,208564,123611
gümüşhane,65883,41154,24729
hakkari,59489,45503,13986
hatay,723731,500992,222739
isparta,309981,202516,107465
mersin,1067421,718708,348713
istanbul,8448280,6040338,2407942
izmir,3097333,2094559,1002774
kars,118400,80551,37849
kastamonu,272964,173546,99418
kayseri,776714,527025,249689
kırklareli,293370,194745,98625
kırşehir,159701,105122,54579
kocaeli,1097350,777384,319966
konya,1116913,743621,373292
kütahya,376093,251179,124914
malatya,433525,286641,146884
manisa,910643,627677,282966
kahramanmaraş,477727,328918,148809
mardin,175211,121949,53262
muğla,855099,569215,285884
muş,89863,60890,28973
nevşehir,180394,120917,59477
niğde,181580,121817,59763
ordu,532615,345985,186630
rize,221973,143982,77991
sakarya,573194,388771,184423
samsun,843706,552077,291629
siirt,64358,44566,19792
sinop,165228,103412,61816
sivas,366958,241325,125633
tekirdağ,673016,465616,207400
tokat,383053,246041,137012
trabzon,522951,336963,185988
tunceli,63745,40163,23582
şanlıurfa,369819,260753,109066
uşak,247379,166522,80857
van,321926,231097,90829
yozgat,231467,149706,81761
zonguldak,409542,270598,138944
aksaray,192376,129925,62451
bayburt,36769,23648,13121
karaman,143023,94683,48340
kırıkkale,174125,113403,60722
batman,155501,107084,48417
şırnak,92257,67096,25161
bartın,144523,95568,48955
ardahan,52996,34395,18601
iğdır,64224,42986,21238
yalova,193266,127540,65726
karabük,163118,106036,57082
kilis,61266,42991,18275
osmaniye,291045,195783,95262
düzce,229253,155580,73673
